Politician,Quote,Image URL
Jeff Greenfield,in the rest of the world  there have been    school shootings in the last twenty years  in the u s   there have been    school shootings since january,barely-true
National Republican Senatorial Committee,heitkamp has voted against trump    percent of time,barely-true
Donald Trump,the democrats are pushing for universal healthcare while thousands of people are marching in the uk because their u system is going broke and not working,barely-true
Ohio Democratic Party,says mike dewine  interfered with and stifled  a sexual harassment investigation and then  eliminated the office that investigated harassment claims within the ag s office,barely-true
Scott Walker,we invested  in our transportation system      billion over eight years  that s    billion more than what former governor jim doyle spent on transportation over the same period of time,barely-true
Trey Blocker,says the texas department of agriculture didn t notify over     texas students about a computer hack releasing critical personal information including social security numbers until    days after the breach,barely-true
Donald Trump,instead of two for one  we have cut    burdensome regulations for everyone new rule,barely-true
Donald Trump,million people watched  the state of the union   the highest number in history   foxnews beat every other network  for the first time ever  with      million people tuning in,barely-true
John Calipari,we have the highest graduation rate of basketball players in the history of the ncaa  we have the highest graduation rate of african american basketball players in the history of the ncaa in basketball,barely-true
Donald Trump,a single immigrant can bring in unlimited numbers of distant relatives,barely-true
Scott Walker,says paul soglin took madison backward     businesses have left and murders have gone up,barely-true
Donald Trump,in the past  we have foolishly released hundreds and hundreds of dangerous terrorists  only to meet them again on the battlefield   including the isis leader  al baghdadi  who we captured  who we had  who we released,barely-true
Donald Trump,we are now  very proudly  an exporter of energy to the world,barely-true
Donald Trump,after years of wage stagnation  we are finally seeing rising wages,barely-true
Heartland Institute,work requirements  have been proven to help impoverished families move from dependency to self sufficiency,barely-true
Scott Walker,road projects across the state are staying on track or getting done sooner thanks to the good work of the team at the wisconsin department of transportation,barely-true
Donald Trump,mexico is  now rated the number one most dangerous country in the world,barely-true
Patrick Morrisey,says evan jenkins was sen  joe manchin s  spokesperson  it s true,barely-true
Donald Trump,in a government shutdown   what they are really doing is shutting down our military,barely-true
Donald Trump,says the obama administration  sold perhaps the best located and finest embassy in london     only to build a new one in an off location for     billion dollars,barely-true
Robin Hayes,a  gerrymander  is by definition and common understanding  a strange looking  monster  drawing  this map is clearly not that,barely-true
Donald Trump,when president barack obama  signed the executive order  on daca  he  actually said he doesn t have the right to do this,barely-true
Elizabeth Foley,says james comey suggested and cnn reported that the basis of the wiretapping warrant for trump adviser carter page was  all based on a dossier,barely-true
Phil Berger,death penalty opponents like roy cooper and josh stein have imposed a de facto moratorium on capital punishment,barely-true
Eric Greitens,the university of missouri saw  the biggest drop in enrollment of any major university in the country  since the      protests,barely-true
Donald Trump,says paul manafort s alleged crimes were  years ago  before paul manafort was part of the trump campaign,barely-true
Michael Moore,people who die from a home invasion make up a sad but minuscule      of all gun murders in the u s  and over a third of them are killed by their own gun that the criminal has either stolen or wrestled from them,barely-true
Matt Gaetz,opioid crisis  is  the worst in obamacare expansion states,barely-true
Rahm Emanuel,and over the last six years  chicago s economy has grown faster than the economies of new york city  washington  d c   or the national average,barely-true
Nikki Haley,and i think that his engagement with congress is something that never happened under president obama  they were never allowed to debate it  they were never allowed to discuss it  so  now congress is going to be fully engaged on the threats of iran,barely-true
Donald Trump,the cost sharing reductions  were  a gift  that  they gave the insurance companies,barely-true
Oklahoma Council of Public Affairs,state government spending is at an all time high  the state is on track to spend more in this fiscal year   more than       billion   than at any time in state history,barely-true
Ohioans Against Deceptive Rx Ballot Issue,a california health care ceo is promising to reduce our prescription drug costs,barely-true
Ohio Taxpayers for Lower Drug Prices,an ohio ballot issue would address the fact that  we ve gone from paying about      for epipens to over          we don t have a choice but to pay it and the drug companies know it,barely-true
Paul Ryan,the republican tax reform proposal is focused on tax breaks for the middle class  and not about people who are really high income earners getting a tax break,barely-true
Donald Trump,loopholes in current law prevent  unaccompanied alien children   uacs  that arrive in the country illegally from being removed,barely-true
Andrew Koenig,it s time to remove any statue of margaret sanger who was a white suprematist  sic   spoke at kkk events   supported by democrats   prolife,barely-true
Donald Trump,in the alabama senate runoff   the candidate i endorsed  luther strange  went up many points after endorsement,barely-true
Ron Johnson,california  new york and massachusetts  they represent about    percent of the population  they get close to    percent of obamacare funding  it s just simply inequitable,barely-true
John Eaves,the current city mayor  kasim reed  has been virtually absent in terms of regional cooperation the last eight years,barely-true
Tom Cotton,if you pass the so called dream act  it will be the single biggest amnesty in the history of the united states  even bigger than the      amnesty,barely-true
Donald Trump,nfl attendance and ratings are way down  boring games yes  but many stay away because they love our country,barely-true
Donald Trump,the graham cassidy health care bill does  include coverage of pre existing conditions,barely-true
New York Post,says ted cruz is the  same senator who once supported a ban on sex toys,barely-true
Bill Cassidy,under the graham cassidy health insurance bill  in  states like maine  virginia  florida  missouri  there will be billions more dollars to provide health insurance coverage for those in those states who have been passed by by obamacare,barely-true
Senate Leadership Fund,says roy moore is  on the wrong side of trump s border wall,barely-true
Tom Bossert,the mobilization of the military in response to the storms in puerto rico and the u s  virgin islands  is the largest ever mobilization of our military in a naval and marine operation  and an air force carrier there  was the first ever as well,barely-true
Freedom Daily,muslims  disturbing plan comes out after grocery stores go bare to prepare for irma,barely-true
X posts,paul ryan doesn t know what the minimum wage is in wisconsin,barely-true
Crystal Quade,the governor s cuts would kick over       people out of their homes,barely-true
Glenna Hodge,schools in austin independent school district are teaching children as young as   years old that their gender is fluid   that they re not a boy or a girl and they can choose whichever gender they want,barely-true
Republican Party of Wisconsin,says tony evers  allowed a middle school teacher found guilty of spreading pornographic material at school to keep teaching students,barely-true
Adam Putnam,we re still doing dumb things like telling the parent of an    year old that it s against the law for them to tell their parents what they were tested on     that will end when i m governor,barely-true
Donald Trump,in       president ronald reagan  cut the business tax rate to    percent and  it worked    our economy boomed  the middle class thrived and median family income increased,barely-true
Christine Quinn,new york state has the  second highest millionaires tax in the nation,barely-true
Sherrod Brown,jim renacci has been a lobbyist even while in congress  and  voted to make it easier for lobbyists to hold key government positions and harder to investigate conflicts of interest,barely-true
Ro Khanna,amazon echo is recording every conversation in a person s home and transmitting it to the cloud,barely-true
Florida House Majority Office,it is a  myth  that  per student funding only rose by    cents this year,barely-true
Scott Dawson,gov  kay ivey gave nearly    million of taxpayers  money to a liberal activist organization that promotes alternative lifestyles and transgenderism,barely-true
Scott Wagner,gov  wolf is trying to implement  a severance tax that would be financed by pennsylvania s working class,barely-true
Nancy Pelosi,a recent spending bill had at least       billion in there     for schools to give them an opportunity to secure them,barely-true
Senate Democrats,el precio de combustible ha aumentado un     este a o     the price of gas has increased     this year,barely-true
Andy Gronik,i ve lived  in milwaukee  all    years of my life,barely-true
Mo Brooks,you re going to have an increase in the amount of ice in antarctica because of global warming,barely-true
Keith Faber,thanks to the strong charter school reforms put in place while i was senate president  the online charter school ecot  was caught and is out of business,barely-true
Randy Bryce,says he s not a politician,barely-true
Jeff Sessions,a legal settlement that reined in chicago police  resulted in approximately     additional victims killed and over       additional shootings in      alone,barely-true
Donald Trump,says of ms    gang members   we are getting them out of our country by the thousands,barely-true
Patrick Morrisey,if joe manchin had his way  judge gorsuch never would have been able to get a vote,barely-true
Jacky Rosen,says dean heller  has voted for a gop bill that funded efforts to revive yucca mountain,barely-true
Donald Trump,i doubled my african american poll numbers  we went from    to    in one week,barely-true
Mahlon Mitchell,says he was  instrumental to passing two  recent  pieces of legislation that were a huge victory for firefighters across the state,barely-true
Don Blankenship,says illegal immigration is  costing us      billion a year to house and feed and give benefits to people that shouldn t be even in the country,barely-true
Ron Johnson,we have laws on the books where people can walk right up to our ports of entry  say  i have a credible fear of persecution   and we bring them in  we don t send them back,barely-true
For Our Future Florida,says florida gov  rick scott  just signed a bill that could make most of florida s beaches private,barely-true
Oath Keepers,california state assembly bill would ban the  sale of the  bible,barely-true
Newstarget,usda approves slaughterhouses producing horse meat for human consumption,barely-true
Greg Abbott,says that as of march      compared with        there s been a more than     percent increase in the number of people who are apprehended coming across the border  and  i ll tell you this  there s been a more than     percent increase in apprehension of heroin coming across the border,barely-true
Dean Heller,says jacky rosen promised  to repeal middle class tax cut,barely-true
Republican Party of Florida,out of     bills  sen  bill nelson has  introduced in congress  only    have passed,barely-true
Tony Evers,says that despite a recent increase in school funding  scott walker  has taken over a billion dollars from the public schools,barely-true
Charles Schumer,in the wake of the republican backed tax bill   more than         american workers have already been laid off in,barely-true
Evan Jenkins,in congress   patrick  morrisey wrote the health care law giving free health care to illegals,barely-true
Tina Smith,on average  american women only earn    cents for every dollar a man earns for doing the same job,barely-true
"Save Our City, Milwaukeeans Can't Wait",says tom barrett  has directed that tens of millions of city of milwaukee tax dollars be used for the construction of a downtown trolley at the expense of  health and public safety  repair and replacement of public infrastructure  public education  and  job creation and economic development,barely-true
Eric Bolling,collusion is not illegal,barely-true
Pat Toomey,medicaid  is contributing to    percent of our budget deficit right now  it s the one that is in our lap because of obamacare,barely-true
Rick Baker,midtown crime is up by    percent the last quarter,barely-true
Chris Murphy,says because of donald trump   the irs decided to stop enforcing the individual mandate that was the underpinning of the aca  that has resulted in insurance companies all across the country jacking their rates up  explicitly because they don t believe that healthy people will buy insurance,barely-true
Donald Trump,says barack obama found out about russia  in august  now  the election was in november  that s a lot of time  he did nothing about it,barely-true
Pat Toomey,sanctuary cities are extremely dangerous,barely-true
Donald Trump,gas prices are the lowest in the u s  in over ten years,barely-true
Travis Allen,i have seen crime increase in every major metropolitan area  in california    crime is on the rise in every major market,barely-true
Marco Rubio,there is no reason for anybody to be losing any of their current benefits under medicaid,barely-true
Scott Walker,when he was milwaukee county executive   eight years in a row we pushed through budgets that did not increase the tax levy from the previous year,barely-true
Michael Needham,actually  on some procedures  you re more likely to die if you re on medicaid than if you re uninsured,barely-true
Paul Ryan,says the cbo said  it s not that people are getting pushed off a plan  it s that people will choose not to buy something they don t like or want,barely-true
Rick Kriseman,we are seeing poverty being reduced in south st  pete at a number larger than the national average  the state average  county or tampa and jacksonville,barely-true
Kellyanne Conway,there  are not cuts to medicaid  in the gop health care proposals,barely-true
Donald Trump,i can say that the people that have been hired  for the independent russia investigation  are all hillary clinton supporters  some of them worked for hillary clinton,barely-true
Kellyanne Conway,if you became a medicaid recipient through the obamacare expansion  you are grandfathered in,barely-true
Donald Trump,obamacare has led to fewer health insurance options for millions of americans,barely-true
Ken Paxton,says barack obama  acknowledged over    times  that his administration s deferred action for parents of americans  immigration edict was a violation of law and the separation of powers,barely-true
X posts,docs  wisconsin governor scott walker took    million from a pro putin ukrainian businessman last election cycle,barely-true
Donald Trump,the new rasmussen poll  one of the most accurate in the      election  just out with a trump     approval rating  that s higher than o s   s,barely-true
Kirsten Gillibrand,a national paid leave program  would potentially put into the economy     billion dollars annually,barely-true
Donald Trump,two million more people just dropped out of obamacare  it is in a death spiral,barely-true
Karen Handel,says iran has  violated the terms of the  nuclear  deal,barely-true
Andrew Gillum,says his campaign has received donations from  more than       contributors,barely-true
Donald Trump,rare is the president  who s passed more legislation  who s done more things than what we ve done  between the executive orders and the job killing regulations that have been terminated,barely-true
Hillary Clinton,the best estimate is that         people in wisconsin were either denied or chilled in their efforts to vote  in the      presidential election,barely-true
Scott Pruitt,since the fourth quarter of last year until most recently  we ve added almost        jobs in the coal sector  in the month of may alone  almost       jobs,barely-true
Al Gore,a majority of president trump s supporters and voters wanted  the united states  to stay in  the paris agreement,barely-true
Bernie Sanders,says president donald  trump s budget gives a      billion tax break to three of the wealthiest families,barely-true
Jim Patterson,california gov  jerry brown s budget  cuts funds for local tree mortality efforts from       million to just    million,barely-true
American Action Network,under the american health care act  people with pre existing conditions are protected,barely-true
Tammy Baldwin,voter turnout in      was reduced by approx          votes because of wi s photo id laws,barely-true
Kris Kobach,the department of homeland security s database of legal immigrants has  never  been  bounced against a state s voter rolls,barely-true
Melissa Melendez,california gov  jerry brown has proposed  diverting    percent of the funding  from the state s gas tax increase  to non road related projects like building parks and job training for felons,barely-true
Maxine Waters,you can see visits to moscow made during the campaign by  paul  manafort and others,barely-true
Rush Limbaugh,what trump is alleged to have done is actually no different than what barack obama did in april last year when he made it known that he didn t want hillary prosecuted,barely-true
DCCC,says  karen handel s office budget increased a whopping    percent,barely-true
Scott Walker,we are investing more money into education than ever before in the history of wisconsin,barely-true
Nate Walker,charter schools in missouri  are actually failing in a greater capacity than the public school systems,barely-true
Donald Trump,says james clapper  and virtually everyone else  said  there is no collusion  in the russia investigation findings,barely-true
Barry Loudermilk,in the house republican health care bill   we re expanding women s access to health services by redirecting planned parenthood dollars to community health centers  which vastly outnumber planned parenthood clinics,barely-true
Judy Chu,the gop health bill  would once again allow being a rape or domestic violence victim to be a pre existing condition,barely-true
Gwen Moore,under  trumpcare    domestic violence and sexual assault  could be considered pre existing conditions,barely-true
Tom Price,we have got    million folks out there across this land who have told the federal government   phooey  nonsense  i m not going to participate in your program  because it doesn t do what i need done,barely-true
Bloggers,under the house republican health plan  sexual assault is a pre existing condition,barely-true
Sonny Perdue,easing school lunch regulations  is not reducing the nutritional standards whatsoever,barely-true
Robert Pittenger,says the republican plan to replace obamacare   absolutely does not eliminate protections for pre existing conditions,barely-true
Larry Krasner,larry krasner is the only candidate running for district attorney who explicitly pledges to never seek the death penalty,barely-true
Donald Trump,says of the gop health care proposal   pre existing conditions are in the bill,barely-true
Donald Trump,the u s  recorded its slowest economic growth in five years         gdp up only       trade deficits hurt the economy very badly,barely-true
Ivanka Trump,the single largest expense in  over half of american households is child care,barely-true
Donald Trump,back when they did nato  there was no such thing as terrorism,barely-true
Viral image,after prohibition ended  police deaths didn t reach     a year again until the year nixon declared war on drugs,barely-true
Club for Growth,the conservative proposal to replace the affordable care act  lowers premiums by giving new york the freedom to end obamacare s costly and ridiculous rules,barely-true
New York Times,images show the turnout for president donald trump s      ceremony with the new england patriots was smaller than the team s turnout with president barack obama in,barely-true
Viral image,snapchat ceo evan spiegel has said the app is for rich people  don t want to expand in poor countries like india and spain,barely-true
Donald Trump,says jon ossoff wants to  allow illegal immigration,barely-true
Jeb Bush,when public schools face increased competition  they get better and kids learn more,barely-true
Kirsten Gillibrand,the keystone xl pipeline  doesn t even have any oil for america,barely-true
Pat McCrory,says syrian refugees are not being vetted  and  the fbi is not even being told where they are,barely-true
Donald Trump,stopped by smiley cookie to pick up some great cookies for the family  along with rudy,barely-true
Donald Trump,says  hillary clinton set aside environmental and labor rules to help a south korean company with a record of violating workers  rights set up what amounts to a sweatshop in haiti,barely-true
ClearPath Action Fund,says  rob portman voted for the bipartisan bill to affirm climate change is real  humans significantly contribute to it and it needs to be addressed,barely-true
Donald Trump,says hillary clinton  viciously  attacked women abused by bill clinton,barely-true
Tim Kaine,donald trump says  that nato is obsolete and that we need to get rid of nato,barely-true
Hillary Clinton,i was gone  when there was a red line against syria,barely-true
Donald Trump,ice just endorsed me,barely-true
Donald Trump,these are radical islamic terrorists  and  hillary clinton  won t even mention the word,barely-true
Pete Gallego,says will hurd said a border long u s  mexico wall  absolutely makes sense,barely-true
Matt Tighe,chris jacobs  has been financed by the same men who are now facing charges in one of western new york s largest public corruption schemes,barely-true
Lesley Cohen,it s bad enough that  stephen  silberkraus appeared in a sexual fetish film where women were kidnapped from their homes and forced to live naked in kennels and trained to be pets  but when silberkraus isn t acting in films that degrade women  he s stalking them in his personal time,barely-true
National Republican Senatorial Committee,maggie hassan  raised tuition  making it the highest in america,barely-true
Colin Van Ostern,as a result of chris sununu s vote against a planned parenthood contract   nearly       fewer  women and families statewide accessed health care for birth control  cancer screenings and annual exams,barely-true
Citizens for Michael McAuliffe and House Republican Organization,mike madigan made a fortune on tax appeals  saving his friends millions    it s an inside game played by people like merry marwig  madigan s hand picked candidate  when marwig thought her property taxes were too high she got them lowered at your expense  saved so much she did it again  marwig and madigan  profiting from the same corrupt system,barely-true
Mike Pence,says donald trump  never said that  more nations should get nuclear weapons,barely-true
Mike Pence,says hillary clinton and tim kaine  want to expand  obamacare  into a single payer program,barely-true
Tim Kaine,donald trump would  engage in a risky scheme to privatize social security,barely-true
Mike Pence,says  iraq has been overrun by isis because hillary clinton failed to renegotiate       a status of forces agreement,barely-true
Hillary Clinton,the great recession emerged  in large part because of tax policies that slashed taxes on the wealthy  failed to invest in the middle class  took their eyes off of wall street  and created a perfect storm,barely-true
Rudy Giuliani,says hillary clinton has  taken hundreds of millions from those countries  where  women are stoned  where women are killed for adultery and women can t drive,barely-true
Arizonans for Responsible Drug Policy,says proposition      blocks market entry  for new marijuana dispensaries,barely-true
Donald Trump,says hillary clinton  gave up    percent of america s uranium supply to russia,barely-true
Democratic Congressional Campaign Committee,says miami congressman carlos  curbelo supports drilling offshore  and  repeatedly voted against president obama s ability to fight pollution and combat climate change,barely-true
Dan Flynn,not one illness has been reported from raw milk in  texas  in more than four years  a total of six illnesses have occurred in the last    years,barely-true
National Republican Congressional Committee,says colorado democratic congressional candidate morgan carroll  racked up     billion in new spending  in the state legislature,barely-true
Donald Trump,says  no  you re wrong   responding to the assertion that stop and frisk was ruled unconstitutional in new york,barely-true
Tammy Duckworth,republican mark kirk is outsourcing his campaign to a super pac funded almost exclusively by a bunch of hedge fund billionaires      i don t have a super pac,barely-true
Stop 57 campaign,brock turner s early release will be a regular occurrence if prop     passes,barely-true
Donald Trump,in new york city   murders are up,barely-true
Donald Trump,the new tax law is  kicking the american economy into high gear with      trillion in tax cuts,barely-true
Democrats Rising,trump vows to end winter heating assistance for elderly and disabled,barely-true
Jeff Sessions,in milwaukee   murder is up an astonishing    percent,barely-true
Joe Berrios,fritz  kaegi managed a fund that invested nearly     million in private prisons,barely-true
Parker Briden,we ve seen funding increases for schools  we haven t seen a corresponding performance increase,barely-true
Jason Smith,check out the record of  jobs created by  taxcuts     million new jobs after bush s      tax cuts    million new jobs after kennedy s      tax cuts      million new jobs after ronald reagan s tax cuts in,barely-true
Claudia Tenney,on the republican tax plan   unfortunately  the wealthy are  again  not going to do well in this bill,barely-true
Travis Allen,this new gas tax does not increase  road  capacity anywhere in the state  it will build no new lanes of freeways  if californians didn t like their traffic before  they re going to like it even less when they re stuck in the exact same traffic and paying more for their gas,barely-true
Bruce Rauner,the candidates controlled by madigan  all of them have said   the answer to our problems is a massive income tax hike,barely-true
Nancy Pelosi,even with full control of the house  senate and white house  republicans have still failed to deliver on their promise of higher wages for working families,barely-true
Doug Jones,in a      case involving a man convicted of abusing two underage girls  judge roy moore disagreed and wrote the dissenting opinion,barely-true
PuppetStringNews.com,obama released    russian agents from u s  custody in      during hillary s uranium deal,barely-true
Lou Barletta,gdp is booming  let s spread the prosperity to the middle class with big  taxcuts  our  taxreform package doubles standard deduction  brings     back home  and reduces rates for all taxpayers  we will  maga,barely-true
Gordon Hintz,wisconsin s lincoln hills youth prison has a     percent recidivism rate   while  states like missouri  that have more of a regional model      percent,barely-true
Tom Luce,only    percent of our current graduates from texas high schools go ahead and achieve either a national certificate or a community college degree    or a college degree,barely-true
Mahlon Mitchell,wisconsin has  the fastest shrinking middle class in the country,barely-true
Donald Trump,says alabama senate candidate doug jones  wants to raise taxes,barely-true
Claire McCaskill,says josh hawley  broke his promise to create a public corruption unit to crack down on the pay to play culture of jefferson city,barely-true
Pat McCrory,the north carolina bathroom bill  was really never repealed,barely-true
Andrew Cuomo,bump stocks are already illegal in the state of new york  you can t buy one,barely-true
Activist Mommy,breaking  roy moore s accuser worked for democratic leaders and is actively campaigning for moore s opponent,barely-true
Ted Cruz,the democrats filibustered the legislation that would ve resulted in this shooter being in federal prison instead of murdering those innocents in that texas church,barely-true
Michael Madigan,the legislative ethics commission continues to function,barely-true
Alyssa Milano,there are no background checks on long guns  ar  s  in texas,barely-true
Patrick Morrisey,says evan  jenkins has the same positions on the issues as joe manchin  supporting hillary  clinton   supporting cap and trade  supporting planned parenthood  many tax increases,barely-true
Nancy McFarlane,charles francis  vows to slash funding for parks and open space,barely-true
Philip Levine,says florida  workers are paid       an hour  and our current governor  rick scott  runs ads bragging about it,barely-true
Bloggers,california democrat maxine waters charged on   counts,barely-true
Donald Trump,says the diversity visa lottery program is  a chuck schumer beauty,barely-true
Edward Markey,says hiv and aids rates have spiked  due to increased heroin and fentanyl use,barely-true
Todd Rokita,luke messer  he plotted with the never trumpers to steal the nomination from president trump,barely-true
Jonathan Saenz,says that in the u s  capitol   stephen f  austin s and sam houston s statues  are  the only ones holding a rifle or a sword,barely-true
Jon “Bowzer” Bauman,rick scott wants to destroy social security by privatizing it,barely-true
Arizona Democratic Party,congresswoman martha mcsally voted to let companies sell your internet data to the highest bidder without your consent  then she got paid         by the very corporations she allowed to sell your personal info,barely-true
Scott Walker,says  eric holder and his group came in and made  the wisconsin supreme court race  highly partisan,barely-true
Donald Trump,epa administrator scott pruitt s short term rental  was about market rate,barely-true
Donald Trump,says scott pruitt s security spending was  somewhat more  than his predecessor,barely-true
JB Pritzker,a recent stomach virus outbreak at the beleaguered quincy veterans  home shows gov  bruce rauner  is letting persistent health issues jeopardize the wellbeing of our nation s heroes,barely-true
Donald Trump,this will be the last time   april   that you re going to  fill out  that old fashioned  big  lots of pages  complicated tax form  because next april you re going to  in many cases   file  one page  one card  it s going to be very  very different  very  very different,barely-true
Giffords,paul ryan has blocked all action to strengthen our gun laws,barely-true
Donald Trump,we ve started building the wall,barely-true
Donald Trump,mexico has  very strong border laws    ours are pathetic,barely-true
Donald Trump,last year we lost      billion on trade with china,barely-true
Republican Party of Wisconsin,says rebecca dallet is a  hypocrite  because she  took money from attorneys with over     cases before her,barely-true
Joe Manchin,small businesses in west virginia  make up about    percent of our state s economy,barely-true
Cynthia Nixon,since taking office  andrew cuomo has given massive tax breaks to corporations and the super rich,barely-true
Onward Ohio,in the senate   mike  dewine voted with hillary clinton to let illegal immigrants receive social security  and in ohio  dewine allowed illegal immigrants to receive driver s licenses,barely-true
Jack Posobiec,says donald  trump decided to  not  work with cambridge analytica during the election,barely-true
Robert Pittenger,mark harris worked to stop trump from being president,barely-true
Steve Bullock,a quarter of our guns are sold outside of the background checks,barely-true
Donald Trump,we do have a trade deficit with canada  as we do with almost all countries  some of them massive,barely-true
Ted Cruz,the obama administration had cut      million from school safety,barely-true
Jeff Sessions,california won t let law enforcement officers like you and your people transfer prisoners to ice custody or even to communicate with ice that you re about to release them from your custody   people that ice is looking for,barely-true
Mahlon Mitchell,when  scottwalker told firefighters we didn t need to worry about act     we said hell no  we stand with working wisconsinites everywhere,barely-true
Richard Corcoran,florida s school marshal program passed by the florida house is the  first of its kind,barely-true
Laurence Tribe,president donald  trump s latest set of sanctions against companies and countries benefiting north korea includes every nation but one making shipments to  north korea   the one nation trump exempted from his punitive ban was       wait for it       drumroll  russia,barely-true
Stuart Varney,electrolux  sweden s largest appliance maker  has just abandoned a      million investment in the united states because of the steel tariffs  that is retaliation,barely-true
Jason Isaac,says abortion is  the leading cause of death for black americans and kills as many as       black children every day,barely-true
Dana Loesch,in comparing mass shootings   france had a higher casualty rate in one year than the entire two administrations of barack obama,barely-true
Ted Deutch,mass shootings went up     percent in the decade after the assault weapons ban expired,barely-true
Donald Trump,in our nation s capital  killings have risen by    percent,barely-true
Donald Trump,we ve made other countries rich while the wealth     of our country has dissipated over the horizon,barely-true
The Other 98%,thirteen democratic senators  voted against cheaper medicines  and took millions from  big pharma since,barely-true
Donald Trump,says georgia s  th congressional district  represented by john lewis  is  in horrible shape and falling apart  not to mention crime infested,barely-true
Rex Tillerson,i have never lobbied against sanctions personally    to my knowledge  exxon never directly lobbied against sanctions,barely-true
The Other 98%,the same   senators who have spent the last   years s        themselves over  benghazi   just introduced a bill to reduce embassy security by    percent,barely-true
Donald Trump,activities by foreign governments had  absolutely no effect on the outcome of this election,barely-true
Scott Walker,we don t get any of that information  from the federal government on who refugees are  where they come from and how long they are likely to stay,barely-true
Lloyd Doggett,our university campuses by federal law do not check the immigration status of their students just as our public schools don t,barely-true
Michael Long,because of its higher minimum wage  new york state is  already showing signs of various companies picking up and leaving,barely-true
Kurt Schaefer,the      and      missouri budget includes more funding for the university of missouri than any time in the last    years,barely-true
Geraldo Rivera,says  tens of thousands of children  were rushed across the southwest border  because they fear the wall,barely-true
Conservative Tribune,before leaving  obama enacts rules to take        from every american,barely-true
Roger Williams,nafta allows a lot of trucks from mexico  for example  to leave there and     drive straight through without even being inspected,barely-true
Terry McAuliffe,we would be just like north carolina with hb  like  transgender bathroom  legislation  it actually passed our chamber and i vetoed it,barely-true
Rick Scott,obamacare  was invented by liberal academic theorists,barely-true
Sean Duffy,black lives matter  who are attacking law enforcement officers     barack obama  had them to the white house,barely-true
Eric Bolling,president obama s american recovery and reinvestment act  was  a fancy name for almost a trillion dollar spending bill  the arra was supposed to fix our crumbling roads and bridges   but now   we have absolutely nothing to show for it,barely-true
James Quintero,says that when san francisco banned plastic grocery bags   you saw the number of instances of people going to the er with things like salmonella and other related illnesses  spike,barely-true
Ted Cruz,there is long historical precedent for a supreme court with fewer justices,barely-true
Paul Ryan,america s tax code hasn t been updated in    years,barely-true
Ohio Republican Party,casey weinstein  no faith in our military       when some of our cadets wanted to watch a religious film  casey weinstein sued the u s  military  sued our soldiers,barely-true
Newt Gingrich,there s a section in the constitution called the emoluments clause that says no one  nor their spouses  can take money from foreigners   hillary clinton  has to be guilty of    or     counts just on that one charge,barely-true
Jason Kander,roy blunt  voted to raise his own pay    times  while in congress,barely-true
Caleb Rowden,democrat stephen webber  voted to allow sex offenders to be within     feet of childcare centers and playgrounds  and even voted to allow sex offenders to be coaches,barely-true
Roy Blunt,on three occasions  judges had to stop jason kander from manipulating elections,barely-true
Maggie Hassan,kelly ayotte  voted for a budget that had     billion of cuts to pell grants,barely-true
Morgan Carroll,says mike coffman said two different things   stop the deportations  in a spanish language debate and  you re going to be deported  in an english language tv interview,barely-true
Donald Trump,in chicago  which has the toughest gun laws in the united states  probably you could say by far  they have more gun violence than any other city,barely-true
Ron Johnson,says russ feingold  voted to raise taxes on social security benefits for seniors  he even tried to give social security benefits to illegal immigrants,barely-true
Jeff Sessions,says president barack obama s policy known as daca  contributed to a surge of minors at the southern border,barely-true
Paul Ryan,says aaron rodgers  is not the highest tax rate payer  in wisconsin  it s  the single mom getting    grand in benefits with two kids who will lose    cents on the dollar if she goes and takes a job,barely-true
Ted Cruz,two thirds of the  hurricane sandy relief  bill had nothing to do with sandy,barely-true
Matt Gaetz,as of       illegal aliens made up roughly     percent of our population  and committed over    percent of all murders,barely-true
Katie Pavlich,says former president barack obama  pardoned a traitor who gave u s  enemies state secrets  he also pardoned a terrorist who killed americans,barely-true
Scott Walker,says foxconn didn t keep a promise to build a plant in pennsylvania because  pennsylvania changed governors,barely-true
Senate Leadership Fund,says kelli ward hosted a town hall on  chemtrail conspiracy theories  and is open to sponsoring chemtrails legislation,barely-true
Jake Tapper,says the joker s  red hood  origin story is  the true one,barely-true
Rick Kriseman,we ve got a police station that s under construction right now  they are actually ahead of schedule and under budget,barely-true
David Frum,no president in history has imposed larger personal lifestyle costs on the taxpayer than donald trump,barely-true
Scott Walker,we took wisconsin from the bottom    for business to the top,barely-true
John Moorlach,crime has been getting worse since jerry brown was elected governor,barely-true
David Lewis,gov  roy cooper has  filed nearly one lawsuit a month  with every single one of them an attempt to extend his own power,barely-true
Alex Castellanos,for  white working class america  death rates among white men are up    percent,barely-true
Roy Cooper,house bill      grants immunity from liability to motorists who strike protesters,barely-true
Joy Reid,the idea of putting up  confederate  monuments actually didn t happen right after the civil war  it happened during the     s,barely-true
Florida Democratic Legislative Campaign Committee,says jose felix diaz supports president donald trump s  plan to slash medicare  charge older americans an age tax and cut coverage for pre existing conditions,barely-true
Chris Collins,violent crimes where a firearm is used have remained static since      in both new york state and erie county,barely-true
Rick Kriseman,says that compared to rick baker s time as mayor  kriseman  had wet weather events that he did not experience  that caused sewage spills  baker  went through significant periods of drought during his time as mayor,barely-true
Andy Gronik,says scott walker  has taken money away from internet expansion in our state,barely-true
Sean Duffy,you have almost half the counties in america that have one provider or no provider for insurance  on the obamacare exchanges,barely-true
